Potential applied (V)	WE(1).Current (A)	WE(1).Charge (C)	Time (s)	External(1).External 1 (V)	External(1).External 2 (V)
0.497589111328125	8.7432861328125E-06	0	71.0575928205968	-0.38250732421875	6.92962646484375
0.495147705078125	7.720947265625E-06	4.01957805706843E-07	71.1064208204735	-0.382568359375	6.93115234375
0.492706298828125	8.3343505859375E-06	7.9393180385523E-07	71.1552488203503	-0.382659912109375	6.929931640625
0.490264892578125	7.0831298828125E-06	1.1703341442626E-06	71.204076820227	-0.38238525390625	6.93084716796875
0.487823486328125	7.763671875E-06	1.5328039353335E-06	71.2529048201037	-0.38262939453125	6.9305419921875
0.485382080078125	6.7352294921875E-06	1.88678018275823E-06	71.3017328199804	-0.382476806640625	6.93084716796875
0.482940673828125	7.04345703125E-06	2.2231729417399E-06	71.3505608198572	-0.382598876953125	6.93084716796875
0.480499267578125	6.610107421875E-06	2.55651116276567E-06	71.3993888197339	-0.382659912109375	6.93023681640625
0.478057861328125	6.3262939453125E-06	2.87234047391394E-06	71.4482168196106	-0.38262939453125	6.93145751953125
0.475616455078125	6.4910888671875E-06	3.18526394949004E-06	71.4970448194873	-0.382659912109375	6.92962646484375
0.473175048828125	5.6671142578125E-06	3.48209437106561E-06	71.545872819364	-0.38031005859375	6.93084716796875
0.470733642578125	6.3385009765625E-06	3.77519950234273E-06	71.5947008192408	-0.380218505859375	6.93023681640625
0.468292236328125	5.2032470703125E-06	4.05697983296704E-06	71.6435288191175	-0.382659912109375	6.9305419921875
0.465850830078125	5.987548828125E-06	4.33019158663228E-06	71.6923568189942	-0.382720947265625	6.93023681640625
0.463409423828125	4.9957275390625E-06	4.59833745480864E-06	71.7411848188709	-0.382659912109375	6.93115234375
0.460968017578125	5.4351806640625E-06	4.85299779029447E-06	71.7900128187476	-0.382598876953125	6.93084716796875
0.458526611328125	4.98046875E-06	5.10728523295256E-06	71.8388408186244	-0.3802490234375	6.9305419921875
0.456085205078125	4.840087890625E-06	5.34704440724454E-06	71.8876688185011	-0.38018798828125	6.93115234375
0.453643798828125	4.9896240234375E-06	5.5870268624858E-06	71.9364968183778	-0.38275146484375	6.929931640625
0.451202392578125	4.2755126953125E-06	5.81322592552169E-06	71.9853248182545	-0.382720947265625	6.93115234375
0.448760986328125	4.9530029296875E-06	6.03853095526574E-06	72.0341528181312	-0.382781982421875	6.92962646484375
0.446319580078125	3.887939453125E-06	6.25437360213255E-06	72.082980818008	-0.382659912109375	6.93115234375
0.443878173828125	4.7149658203125E-06	6.46440503260237E-06	72.1318088178847	-0.382659912109375	6.9305419921875
0.441436767578125	3.729248046875E-06	6.67056201564264E-06	72.1806368177614	-0.382659912109375	6.93084716796875
0.438995361328125	4.25872802734375E-06	6.86558041707031E-06	72.2294648176381	-0.382904052734375	6.9305419921875
0.436553955078125	3.77349853515625E-06	7.06167929820367E-06	72.2782928175149	-0.38275146484375	6.929931640625
0.434112548828125	3.75335693359375E-06	7.24543997421279E-06	72.3271208173916	-0.382843017578125	6.93023681640625
0.431671142578125	3.86505126953125E-06	7.43143573345151E-06	72.3759488172683	-0.3826904296875	6.9305419921875
0.429229736328125	3.24798583984375E-06	7.60509328756598E-06	72.424776817145	-0.382720947265625	6.9305419921875
0.426788330078125	3.89739990234375E-06	7.77954119257629E-06	72.4736048170217	-0.38262939453125	6.93023681640625
0.424346923828125	2.8955078125E-06	7.94538300397107E-06	72.5224328168985	-0.3826904296875	6.93115234375
0.421905517578125	3.7506103515625E-06	8.10764140624087E-06	72.5712608167752	-0.3826904296875	6.93023681640625
0.419464111328125	2.75421142578125E-06	8.26645009510685E-06	72.6200888166519	-0.38018798828125	6.93084716796875
0.417022705078125	3.377685546875E-06	8.41615383251337E-06	72.6689168165286	-0.38043212890625	6.9305419921875
0.414581298828125	2.84210205078125E-06	8.56800397741608E-06	72.7177448164053	-0.38238525390625	6.9305419921875
0.412139892578125	2.90496826171875E-06	8.70831263455329E-06	72.7665728162821	-0.3826904296875	6.93115234375
0.409698486328125	2.97149658203125E-06	8.85178087628447E-06	72.8154008161588	-0.380645751953125	6.93023681640625
0.407257080078125	2.43621826171875E-06	8.98380494618323E-06	72.8642288160355	-0.380157470703125	6.9317626953125
0.404815673828125	3.0572509765625E-06	9.11792267288547E-06	72.9130568159122	-0.38037109375	6.93084716796875
0.402374267578125	2.10052490234375E-06	9.24384403333534E-06	72.9618848157889	-0.3802490234375	6.93145751953125
0.399932861328125	2.9791259765625E-06	9.36785909289029E-06	73.0107128156657	-0.38031005859375	6.93084716796875
0.397491455078125	1.97784423828125E-06	9.48887827689759E-06	73.0595408155424	-0.377777099609375	6.93115234375
0.395050048828125	2.655029296875E-06	9.60198576649418E-06	73.1083688154191	-0.377716064453125	6.9305419921875
0.392608642578125	2.0709228515625E-06	9.7173651738558E-06	73.1571968152958	-0.377685546875	6.9305419921875
0.390167236328125	2.2235107421875E-06	9.82220899459207E-06	73.2060248151726	-0.377838134765625	6.93084716796875
0.387725830078125	2.24365234375E-06	9.93127014226047E-06	73.2548528150493	-0.377777099609375	6.929931640625
0.385284423828125	1.78009033203125E-06	1.00295064839884E-05	73.303680814926	-0.377716064453125	6.93115234375
0.382843017578125	2.35504150390625E-06	1.01304613053799E-05	73.3525088148027	-0.38031005859375	6.929931640625
0.380401611328125	1.44989013671875E-06	1.02233543657348E-05	73.4013368146794	-0.380340576171875	6.93115234375
0.377960205078125	2.337646484375E-06	1.03158236015588E-05	73.4501648145562	-0.377777099609375	6.93023681640625
